Ticker,Date,Alpha,Beta,StandardDeviation,RSquared,SharpeRatio,TreynorRatio,TrackingError,InformationRatio,SortinoRatio,Momentum,AnnualizedReturn,UpsideCapture,DownsideCapture
HNI,2014-10-31,-1.73,1.36,34.08,27.31,0.59,0.15,29.43,-0.06,1.24,108.98,15.88,126.47,176.8
HOLX,2014-10-31,-5.99,1.29,27.28,38.87,0.55,0.12,21.68,-0.28,1.03,77.2,12.12,106.15,149.37
HBCP,2014-10-31,8.03,0.34,12.6,12.72,1.08,0.4,14.61,0.55,2.18,89.76,13.67,49.19,8.38
HOMB,2014-10-31,12.86,0.9,24.77,22.64,1.11,0.31,21.83,0.59,1.87,236.55,27.47,113.46,56.94
HOME,2014-10-31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HLSS,2014-10-31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AWAY,2014-10-31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HMST,2014-10-31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HTBI,2014-10-31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HOFT,2014-10-31,-11.55,1.52,35.64,31.59,0.37,0.09,30.27,-0.38,0.48,40.47,7.03,124.03,234.34
HMN,2014-10-31,-1.29,1.42,26.59,49.0,0.82,0.15,19.76,-0.07,1.52,148.43,19.96,152.66,169.07
HBNC,2014-10-31,26.98,0.19,25.77,0.9,1.16,1.61,27.79,0.97,2.33,281.18,30.69,78.63,-43.26
HZNP,2014-10-31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HRZN,2014-10-31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HOS,2014-10-31,-15.9,1.82,42.7,31.44,0.32,0.08,36.97,-0.43,0.51,26.12,4.75,130.11,249.78
HWCC,2014-10-31,-12.79,1.44,32.7,33.51,0.32,0.07,27.29,-0.47,0.53,30.81,5.52,128.71,231.02
HOV,2014-10-31,-18.68,2.44,70.3,20.87,0.3,0.09,65.35,-0.29,0.69,-3.84,-0.78,188.23,415.27
HHC,2014-10-31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HSNI,2014-10-31,11.78,1.44,30.38,38.9,1.16,0.24,24.45,0.48,2.66,361.95,35.81,165.33,108.08
HUBG,2014-10-31,-5.84,1.01,24.72,28.92,0.43,0.1,20.85,-0.28,0.64,45.98,7.86,93.06,149.46
HVB,2014-10-31,-11.69,1.24,34.49,22.16,0.24,0.07,30.59,-0.38,0.43,14.74,2.79,73.11,147.38
JBHT,2014-10-31,7.4,0.96,21.33,34.73,1.08,0.24,17.24,0.43,2.39,180.58,22.92,98.34,55.36
ICUI,2014-10-31,7.23,0.56,20.95,12.15,0.78,0.29,20.48,0.35,1.41,102.57,15.16,70.11,43.8
HII,2014-10-31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HURC,2014-10-31,-0.02,1.51,36.95,29.0,0.67,0.16,31.86,-0.0,1.25,145.43,19.67,119.74,129.51
HURN,2014-10-31,11.74,0.9,29.54,16.14,0.89,0.29,27.08,0.43,1.37,200.04,24.58,124.4,120.81
HTCH,2014-10-31,-9.0,1.84,88.97,7.38,0.23,0.11,86.33,-0.1,0.65,-38.66,-9.31,126.59,340.6
H,2014-10-31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HPTX,2014-10-31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HY,2014-10-31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IBKC,2014-10-31,-2.78,1.09,25.86,30.51,0.58,0.14,21.59,-0.13,1.23,80.05,12.48,92.42,107.6
ICFI,2014-10-31,-8.81,1.12,31.5,21.87,0.3,0.08,27.89,-0.32,0.71,26.84,4.87,71.4,112.75
ICGE,2014-10-31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ICON,2014-10-31,4.18,1.52,28.79,48.36,1.0,0.19,21.8,0.19,1.68,243.14,27.97,168.37,182.57
IDA,2014-10-31,10.26,0.65,15.49,30.05,1.34,0.32,13.77,0.75,2.29,165.22,21.54,92.93,48.71
IDIX,2014-10-31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IEX,2014-10-31,0.23,1.44,22.36,71.3,1.05,0.16,13.29,0.02,1.66,185.51,23.35,142.21,152.19
IMN,2014-10-31,-31.92,0.99,34.93,13.82,-0.45,-0.16,32.43,-0.98,-0.72,-66.78,-19.78,11.52,204.37
IDXX,2014-10-31,9.82,0.8,22.21,22.58,1.03,0.28,19.71,0.5,2.44,177.13,22.61,95.85,60.23
