Ticker, Date, Alpha,Beta,StandardDeviation,RSquared,SharpeRatio,TreynorRatio,TrackingError,InformationRatio,SortinoRatio,Momentum,AnnualizedReturn,UpsideCapture,DownsideCapture
SSI,2014-10-31,-3.13,1.18,36.19,18.28,0.44,0.14,32.8,-0.1,0.61,59.32,9.76,103.54,177.76
SCS,2014-10-31,14.02,1.08,36.24,15.46,0.87,0.29,33.34,0.42,1.65,252.43,28.65,134.34,115.83
SRDX,2014-10-31,-16.07,1.26,40.21,17.01,0.11,0.04,36.79,-0.44,0.2,-15.46,-3.3,105.35,221.63
TICC,2014-10-31,13.68,0.67,20.84,17.93,1.18,0.37,19.37,0.71,2.02,205.51,25.03,100.12,45.17
SNHY,2014-10-31,-6.58,2.36,42.7,52.96,0.75,0.13,34.34,-0.19,1.36,214.74,25.77,196.25,244.3
TGTX,2014-10-31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SYNA,2014-10-31,1.28,1.82,42.5,31.63,0.73,0.17,36.75,0.03,1.5,204.13,24.91,179.13,222.96
TEAR,2014-10-31,1.66,3.16,101.7,16.69,0.52,0.17,97.08,0.02,1.64,138.84,19.02,185.92,232.15
TSYS,2014-10-31,-34.54,1.48,49.65,15.27,-0.21,-0.07,46.13,-0.75,-0.38,-67.79,-20.27,78.45,331.06
TKR,2014-10-31,-8.94,2.01,40.83,41.67,0.58,0.12,33.87,-0.26,0.88,113.96,16.43,157.6,233.62
VRA,2014-10-31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EGY,2014-10-31,-3.07,1.46,45.2,18.1,0.46,0.14,41.35,-0.07,0.95,74.18,11.74,107.87,189.11
VNDA,2014-10-31,-6.36,1.89,71.82,11.97,0.34,0.13,68.39,-0.09,0.91,17.75,3.32,139.68,296.81
VVI,2014-10-31,-7.94,1.6,35.81,34.49,0.5,0.11,30.03,-0.26,0.89,80.74,12.57,135.37,232.79
XOXO,2014-10-31,-8.74,1.11,34.3,17.97,0.27,0.08,31.1,-0.28,0.47,19.31,3.59,90.51,181.22
ZIGO,2014-10-31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AKAM,2014-10-31,10.75,1.02,38.58,12.06,0.71,0.27,36.18,0.3,1.3,174.09,22.34,121.34,108.98
C,2014-10-31,-17.56,1.74,32.4,49.6,0.33,0.06,24.95,-0.7,0.5,31.37,5.61,120.13,224.89
DHI,2014-10-31,-3.18,1.48,32.06,36.7,0.65,0.14,26.27,-0.12,1.19,119.37,17.01,130.48,158.01
EXC,2014-10-31,-5.83,0.47,19.56,9.86,0.09,0.04,19.84,-0.29,0.11,-0.55,-0.11,22.87,50.5
FFIV,2014-10-31,-1.3,1.86,42.83,32.5,0.67,0.16,36.95,-0.04,1.26,173.96,22.33,136.81,159.62
FITB,2014-10-31,1.82,1.21,26.53,35.66,0.81,0.18,21.45,0.08,1.43,146.05,19.73,111.63,95.56
GLW,2014-10-31,-15.71,1.77,30.25,59.18,0.43,0.07,21.82,-0.72,0.87,53.75,8.98,147.21,250.56
LB,2014-10-31,21.2,1.13,28.07,28.2,1.41,0.35,23.85,0.89,2.81,487.46,42.49,159.58,88.08
MO,2014-10-31,18.29,0.51,15.17,19.63,1.75,0.52,15.04,1.22,3.21,253.71,28.74,100.89,9.09
OKE,2014-10-31,13.17,0.98,25.61,25.44,1.14,0.3,22.12,0.6,2.41,263.03,29.42,118.99,59.61
ORCL,2014-10-31,-6.55,1.41,25.2,54.24,0.65,0.12,17.89,-0.37,1.1,94.29,14.21,123.06,153.91
TXT,2014-10-31,-5.16,1.76,35.56,42.44,0.66,0.13,28.78,-0.18,1.04,137.43,18.88,150.07,204.02
AON,2014-10-31,3.49,0.94,17.85,48.42,1.06,0.2,12.84,0.27,1.81,136.7,18.81,99.43,84.7
CVX,2014-10-31,-4.33,1.12,18.38,63.83,0.75,0.12,11.16,-0.39,1.39,83.84,12.95,106.79,139.2
AFL,2014-10-31,-11.91,1.53,25.91,60.07,0.5,0.08,17.79,-0.67,0.82,62.46,10.19,108.32,152.08
BTU,2014-10-31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PM,2014-10-31,3.7,0.91,19.27,38.9,0.96,0.2,15.11,0.24,2.04,130.21,18.15,94.28,71.59
WYNN,2014-10-31,14.25,1.47,34.29,31.57,1.11,0.26,29.02,0.49,1.69,392.75,37.57,152.78,81.85
STJ,2014-10-31,-3.78,1.32,26.8,42.07,0.66,0.13,20.83,-0.18,1.13,103.19,15.23,120.3,155.73
BSET,2014-10-31,27.25,1.09,47.36,9.12,0.95,0.41,45.16,0.6,2.62,473.88,41.83,166.12,59.45
WWD,2014-10-31,-3.39,1.51,31.19,40.29,0.68,0.14,25.0,-0.14,1.33,127.17,17.83,113.04,132.29
CIX,2014-10-31,2.86,1.04,40.43,11.46,0.49,0.19,38.04,0.08,1.09,83.27,12.88,88.09,103.31
CNQR,2014-10-31,19.41,0.66,29.95,8.48,1.01,0.45,28.99,0.67,1.44,260.04,29.2,95.29,1.69
CNMD,2014-10-31,-5.62,1.4,25.85,50.33,0.66,0.12,18.94,-0.3,1.47,100.06,14.88,120.36,153.01
CNOB,2014-10-31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CREE,2014-10-31,-20.92,1.55,44.92,20.47,0.09,0.03,40.7,-0.51,0.16,-25.23,-5.65,68.59,241.38
CNP,2014-10-31,11.49,0.46,15.73,14.82,1.21,0.41,16.15,0.71,2.41,142.34,19.37,74.02,13.92
DHR,2014-10-31,0.09,1.17,18.22,70.83,1.04,0.16,10.08,0.01,2.37,138.3,18.97,119.99,126.99
F,2014-10-31,-4.36,1.54,32.78,38.1,0.63,0.13,26.75,-0.16,1.32,117.35,16.8,133.03,189.99
DGII,2014-10-31,-17.79,1.44,31.55,36.02,0.18,0.04,25.89,-0.69,0.32,4.15,0.82,97.4,211.4
GPC,2014-10-31,13.05,0.73,15.12,40.41,1.65,0.34,12.19,1.07,3.83,226.21,26.68,101.49,34.94
IVZ,2014-10-31,-16.41,2.11,30.5,82.56,0.58,0.08,19.35,-0.85,0.91,93.91,14.16,166.31,249.7
JPM,2014-10-31,-11.93,1.55,26.78,57.57,0.49,0.09,18.86,-0.63,0.68,61.47,10.06,130.83,212.58
KEY,2014-10-31,1.86,1.31,27.57,38.96,0.84,0.18,21.92,0.08,1.63,164.3,21.46,127.94,113.96
KMX,2014-10-31,-1.18,1.78,38.31,37.37,0.72,0.16,32.01,-0.04,1.84,184.24,23.24,158.04,190.15
SHW,2014-10-31,21.65,0.58,17.19,19.76,1.81,0.53,16.35,1.32,3.29,334.33,34.14,109.58,7.32
SRCL,2014-10-31,14.31,0.27,14.66,5.76,1.27,0.7,17.18,0.83,2.56,140.6,19.19,62.09,0.48
SPLS,2014-10-31,-26.24,1.42,30.81,36.85,-0.1,-0.02,25.11,-1.05,-0.16,-32.57,-7.58,60.97,214.54
TWC,2014-10-31,17.03,0.87,21.35,28.88,1.46,0.36,18.08,0.94,3.34,321.04,33.31,126.88,59.46
TSO,2014-10-31,11.39,1.9,43.38,33.19,0.97,0.22,37.39,0.3,2.23,426.32,39.4,223.95,255.55
WFM,2014-10-31,13.23,0.6,29.72,7.14,0.78,0.38,29.11,0.45,1.1,153.9,20.48,80.81,58.4
EOPN,2014-10-31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EWBC,2014-10-31,6.64,1.77,36.97,39.73,0.96,0.2,30.45,0.22,2.91,337.8,34.36,164.47,121.42
ELX,2014-10-31,-27.73,1.49,42.05,21.74,-0.08,-0.02,37.76,-0.73,-0.16,-43.96,-10.94,43.78,194.41
EIG,2014-10-31,-7.92,1.24,30.09,29.3,0.41,0.1,25.5,-0.31,0.51,47.01,8.01,108.39,180.96
ESL,2014-10-31,-0.0,1.53,28.96,48.12,0.86,0.16,21.99,-0.0,1.13,178.1,22.7,149.02,160.66
FLXS,2014-10-31,28.29,0.46,31.32,3.65,1.14,0.78,31.56,0.9,2.12,363.99,35.93,95.13,-17.72
FTNT,2014-10-31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FRED,2014-10-31,-3.29,0.89,27.67,18.04,0.41,0.13,25.09,-0.13,0.6,45.14,7.74,68.58,106.7
GBCI,2014-10-31,-1.57,1.54,29.9,45.63,0.78,0.15,23.14,-0.07,1.33,157.99,20.87,139.35,160.43
GPN,2014-10-31,-5.58,1.13,23.58,39.43,0.54,0.11,18.42,-0.3,0.86,64.87,10.52,92.92,139.1
GSOL,2014-10-31,-12.78,1.52,42.27,22.41,0.28,0.08,37.86,-0.34,0.5,18.42,3.44,130.0,287.35
HLS,2014-10-31,-2.8,1.77,31.59,54.39,0.82,0.15,23.63,-0.12,1.2,183.44,23.17,158.03,180.37
HTCO,2014-10-31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
INTX,2014-10-31,4.2,0.72,60.95,2.39,0.26,0.22,60.33,0.07,0.52,-1.55,-0.31,60.89,156.25
COLM,2014-10-31,-1.36,1.31,27.47,39.05,0.72,0.15,21.82,-0.06,1.68,124.83,17.59,113.82,138.86
CWCO,2014-10-31,-14.09,1.14,33.95,19.39,0.13,0.04,30.54,-0.46,0.22,-6.03,-1.24,83.34,174.99
CFR,2014-10-31,2.06,0.82,15.51,47.88,0.99,0.19,11.45,0.18,1.75,102.67,15.17,82.52,75.99
CYNI,2014-10-31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DISH,2014-10-31,17.93,1.01,29.2,20.69,1.18,0.34,26.0,0.69,2.15,347.72,34.96,140.91,55.95
FULT,2014-10-31,-7.99,1.24,23.43,48.22,0.52,0.1,17.15,-0.47,0.96,60.97,9.99,99.39,134.03
GEF,2014-10-31,-15.47,1.08,23.28,37.21,0.09,0.02,18.48,-0.84,0.11,-3.29,-0.67,73.36,171.55
