Ticker, Date, Alpha,Beta,StandardDeviation,RSquared,SharpeRatio,TreynorRatio,TrackingError,InformationRatio,SortinoRatio,Momentum,AnnualizedReturn,UpsideCapture,DownsideCapture
NRG,2014-10-31,-0.81,0.6,24.22,10.77,0.37,0.15,23.46,-0.03,0.64,36.15,6.37,71.16,107.26
CINF,2014-10-31,6.82,0.79,15.43,44.77,1.27,0.25,11.81,0.58,2.97,150.21,20.13,92.64,62.59
CTXS,2014-10-31,-10.47,1.75,37.8,37.17,0.48,0.1,31.56,-0.33,0.85,74.73,11.81,108.15,158.01
M,2014-10-31,13.91,0.93,26.51,21.29,1.09,0.31,23.54,0.59,1.82,256.91,28.98,109.26,50.09
RAI,2014-10-31,12.82,0.49,15.89,16.73,1.31,0.42,15.95,0.8,2.61,165.5,21.57,85.22,23.7
DPS,2014-10-31,22.77,0.02,17.09,0.03,1.35,10.65,21.38,1.06,2.94,194.4,24.1,75.75,-7.33
EA,2014-10-31,5.75,1.04,36.79,13.69,0.61,0.22,34.18,0.17,1.52,124.62,17.57,108.43,101.89
CNX,2014-10-31,-23.61,1.71,34.9,41.47,0.12,0.02,28.28,-0.83,0.17,-9.24,-1.92,92.98,246.12
MWV,2014-10-31,-3.08,1.44,25.4,55.15,0.8,0.14,17.95,-0.17,1.33,134.11,18.55,141.26,172.09
LLY,2014-10-31,11.77,0.44,14.04,17.34,1.35,0.43,14.7,0.8,3.16,145.63,19.69,69.42,3.56
THC,2014-10-31,-0.28,1.85,46.58,27.3,0.64,0.16,41.27,-0.01,1.52,173.68,22.31,168.99,199.04
EQR,2014-10-31,10.65,0.75,19.79,24.71,1.15,0.3,17.48,0.61,1.99,182.83,23.11,101.23,62.02
MCO,2014-10-31,10.57,1.49,29.39,44.18,1.18,0.23,22.87,0.46,1.94,351.85,35.21,171.1,132.35
MDT,2014-10-31,-1.18,1.13,20.03,55.12,0.86,0.15,13.53,-0.09,1.51,113.95,16.43,115.34,126.81
MMM,2014-10-31,1.07,1.09,17.3,68.79,1.09,0.17,9.74,0.11,1.45,136.83,18.82,117.27,123.03
NKE,2014-10-31,12.65,0.79,21.98,22.04,1.16,0.32,19.61,0.65,1.57,213.43,25.67,88.46,20.59
RIG,2014-10-31,-40.35,1.81,37.1,40.95,-0.3,-0.06,30.41,-1.33,-0.49,-58.99,-16.33,60.43,289.33
FLS,2014-10-31,-10.77,1.88,30.84,64.39,0.64,0.11,21.76,-0.49,1.14,113.32,16.36,137.12,190.87
NBL,2014-10-31,-5.7,1.33,28.03,38.64,0.56,0.12,22.37,-0.25,0.67,80.95,12.59,98.81,125.88
FOSL,2014-10-31,7.56,1.75,41.05,31.31,0.88,0.21,35.42,0.21,1.06,280.32,30.63,164.55,169.45
FOXA,2014-10-31,7.31,1.13,24.09,38.09,1.07,0.23,19.04,0.38,1.77,211.24,25.49,142.84,123.51
FSLR,2014-10-31,-24.75,1.85,64.43,14.17,0.08,0.03,60.72,-0.41,0.16,-51.69,-13.54,144.14,408.62
TMO,2014-10-31,6.71,0.93,20.83,34.35,1.05,0.23,16.9,0.4,2.24,166.51,21.66,110.4,86.01
VAR,2014-10-31,1.7,0.92,21.24,32.33,0.78,0.18,17.5,0.1,1.32,105.27,15.47,78.03,65.67
WM,2014-10-31,2.81,0.75,15.92,37.9,0.94,0.2,12.99,0.22,1.26,97.77,14.61,93.2,93.65
AUXL,2014-10-31,0.09,0.67,48.87,3.23,0.22,0.16,48.27,0.0,0.5,2.26,0.45,30.03,21.03
PBF,2014-10-31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GME,2014-10-31,2.12,1.14,38.96,14.73,0.53,0.18,36.02,0.06,0.98,93.3,14.09,104.76,130.63
CEMP,2014-10-31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CAVM,2014-10-31,1.77,1.52,36.06,30.63,0.73,0.17,30.8,0.06,1.26,170.62,22.03,141.54,176.63
CHS,2014-10-31,-13.1,1.57,36.79,31.29,0.34,0.08,31.39,-0.42,0.63,35.35,6.24,113.36,238.76
CIR,2014-10-31,4.5,1.33,33.13,27.98,0.79,0.2,28.46,0.16,1.43,181.07,22.96,147.18,178.58
DTLK,2014-10-31,24.77,0.74,54.36,3.19,0.68,0.5,53.59,0.46,1.34,217.04,25.96,90.56,25.98
CPWR,2014-10-31,-6.76,1.14,26.73,31.68,0.44,0.1,22.18,-0.3,0.92,52.39,8.79,96.9,154.68
CROX,2014-10-31,19.56,0.15,42.91,0.22,0.51,1.45,44.29,0.44,0.89,92.11,13.95,59.41,66.46
CGNX,2014-10-31,16.21,1.32,31.92,29.41,1.18,0.29,27.14,0.6,2.55,408.56,38.44,138.63,50.53
CTB,2014-10-31,-2.83,1.71,39.86,31.7,0.62,0.15,34.23,-0.08,0.97,134.31,18.57,157.48,221.18
CSS,2014-10-31,-11.35,1.44,32.21,34.48,0.37,0.08,26.7,-0.43,0.78,42.45,7.33,101.88,185.99
DWA,2014-10-31,-13.18,0.8,37.82,7.69,-0.01,-0.0,36.43,-0.36,-0.01,-30.37,-6.98,15.61,75.6
DEPO,2014-10-31,21.21,1.43,51.1,13.52,0.87,0.31,47.86,0.44,1.84,395.18,37.71,192.99,182.49
DY,2014-10-31,11.48,1.13,36.92,16.16,0.81,0.26,33.85,0.34,1.39,217.71,26.01,112.9,99.28
SATS,2014-10-31,4.96,1.18,32.54,22.73,0.74,0.2,28.7,0.17,1.27,157.32,20.81,132.33,133.51
RDEN,2014-10-31,-2.92,1.22,41.34,15.07,0.41,0.14,38.2,-0.08,0.65,53.99,9.02,73.3,103.13
EBF,2014-10-31,-16.25,1.5,30.21,42.49,0.27,0.05,23.83,-0.68,0.51,20.45,3.79,111.13,209.69
FNSR,2014-10-31,0.82,1.92,57.68,19.1,0.55,0.17,53.26,0.02,1.01,124.43,17.55,133.49,184.8
BUSE,2014-10-31,-0.43,1.01,24.57,29.16,0.65,0.16,20.68,-0.02,1.44,92.39,13.98,98.33,104.38
EXTR,2014-10-31,-0.68,1.36,44.7,16.06,0.48,0.16,41.23,-0.02,0.8,80.4,12.52,106.56,129.73
FFBC,2014-10-31,-3.63,1.08,22.91,38.29,0.61,0.13,18.02,-0.2,1.02,76.08,11.98,94.18,117.29
FHCO,2014-10-31,-6.67,1.02,37.56,12.64,0.26,0.1,35.11,-0.19,0.47,16.37,3.08,65.45,130.66
FFIC,2014-10-31,3.14,0.89,21.33,30.39,0.83,0.2,17.85,0.18,1.39,116.05,16.66,99.25,101.03
FVE,2014-10-31,-6.63,1.31,46.34,13.71,0.31,0.11,43.24,-0.15,0.45,19.71,3.66,115.75,255.62
FCFS,2014-10-31,13.59,0.9,25.64,21.12,1.1,0.31,22.81,0.6,1.6,243.89,28.02,133.04,93.9
FTK,2014-10-31,49.7,1.76,78.18,8.77,1.0,0.44,75.34,0.66,2.41,1276.4,68.95,219.92,171.83
