Ticker,Date,Alpha,Beta,StandardDeviation,RSquared,SharpeRatio,TreynorRatio,TrackingError,InformationRatio,SortinoRatio,Momentum,AnnualizedReturn,UpsideCapture,DownsideCapture
PCG,2014-09-30,1.98,0.35,14.86,9.64,0.49,0.21,16.54,0.12,0.74,37.02,6.5,49.23,54.33
PG,2014-09-30,5.12,0.4,12.93,16.89,0.87,0.28,14.19,0.36,2.17,69.17,11.09,55.41,29.9
PPL,2014-09-30,3.24,0.28,14.58,6.37,0.52,0.27,17.02,0.19,0.67,38.49,6.73,38.23,22.44
RDC,2014-09-30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RL,2014-09-30,-0.25,1.28,25.84,42.6,0.75,0.15,19.92,-0.01,1.38,124.12,17.52,111.15,129.46
SNI,2014-09-30,2.52,1.05,23.99,33.42,0.78,0.18,19.59,0.13,1.29,120.45,17.13,99.32,88.48
STZ,2014-09-30,23.99,1.05,32.6,18.17,1.23,0.38,29.49,0.81,3.14,475.31,41.9,162.2,72.58
SWY,2014-09-30,2.45,1.01,29.35,20.49,0.61,0.18,26.17,0.09,1.28,99.42,14.8,86.44,77.45
SYK,2014-09-30,0.03,0.97,19.95,41.07,0.75,0.15,15.32,0.0,1.91,91.48,13.87,94.04,101.44
SYY,2014-09-30,2.07,0.72,15.44,37.84,0.85,0.18,12.73,0.16,1.25,81.81,12.7,74.93,64.65
TJX,2014-09-30,16.38,0.6,16.85,22.24,1.52,0.43,15.76,1.04,2.7,233.09,27.21,99.19,19.88
TRIP,2014-09-30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TROW,2014-09-30,-5.71,1.36,21.63,69.02,0.7,0.11,12.95,-0.44,1.18,90.63,13.77,115.31,153.24
UNH,2014-09-30,19.36,0.56,18.27,16.3,1.53,0.5,17.71,1.09,2.65,268.64,29.81,97.08,1.43
UNM,2014-09-30,7542.43,-178.36,10738.35,4.82,0.45,-0.27,10741.26,0.7,71.57,75.52,11.91,114.1,148.57
VNO,2014-09-30,-2.13,1.07,20.41,47.6,0.7,0.13,14.8,-0.14,1.23,84.33,13.01,100.75,109.92
MMC,2014-09-30,6.91,0.79,15.14,47.05,1.26,0.24,11.37,0.61,1.85,143.66,19.5,93.59,60.31
VTR,2014-09-30,7.95,0.48,17.51,13.33,0.88,0.32,17.67,0.45,1.38,100.02,14.87,65.63,24.2
WYN,2014-09-30,14.69,1.48,25.47,58.89,1.47,0.25,17.52,0.84,2.58,445.75,40.41,163.94,78.34
XYL,2014-09-30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ZION,2014-09-30,-6.69,1.58,40.98,25.84,0.43,0.11,36.11,-0.19,0.82,64.23,10.43,125.96,179.92
ZMH,2014-09-30,0.57,0.95,20.27,38.41,0.75,0.16,15.92,0.04,1.47,93.39,14.1,103.43,123.7
MON,2014-09-30,-9.02,1.47,31.06,39.16,0.44,0.09,25.02,-0.36,0.88,57.48,9.51,111.35,167.94
LRCX,2014-09-30,-0.27,1.29,28.18,36.81,0.7,0.15,22.73,-0.01,1.31,119.22,17.0,124.98,141.28
LUK,2014-09-30,-22.62,1.73,30.61,55.81,0.13,0.02,22.52,-1.0,0.2,-3.09,-0.63,128.59,279.24
LUV,2014-09-30,13.33,1.07,28.64,24.27,1.04,0.28,24.94,0.53,2.05,259.87,29.19,148.13,106.53
LYB,2014-09-30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MA,2014-09-30,15.09,0.88,22.3,27.45,1.29,0.32,19.06,0.79,1.83,267.23,29.71,107.96,21.43
MPC,2014-09-30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NDAQ,2014-09-30,-0.9,1.2,23.75,44.55,0.74,0.15,17.88,-0.05,1.27,109.19,15.91,111.66,125.09
MS,2014-09-30,-21.85,2.03,35.85,56.17,0.26,0.05,27.39,-0.8,0.4,17.16,3.22,144.72,276.59
A,2014-09-30,-5.9,1.63,29.86,52.1,0.64,0.12,22.28,-0.26,1.13,110.37,16.04,140.92,182.69
NEM,2014-09-30,-9.06,0.18,30.87,0.62,-0.2,-0.34,32.61,-0.28,-0.36,-42.08,-10.35,-20.38,38.47
ABBV,2014-09-30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ABC,2014-09-30,17.62,0.67,17.85,24.59,1.56,0.42,16.1,1.09,2.72,269.68,29.89,118.97,36.43
ABT,2014-09-30,-2.93,0.37,26.32,3.45,0.1,0.07,27.17,-0.11,0.09,-8.39,-1.74,20.64,44.27
MAT,2014-09-30,4.77,0.77,20.27,24.9,0.82,0.22,17.84,0.27,1.03,105.96,15.55,87.74,90.85
MJN,2014-09-30,8.0,0.71,20.19,21.33,0.93,0.27,18.33,0.44,1.34,131.58,18.29,81.86,44.75
MNST,2014-09-30,32.85,0.27,30.9,1.31,1.2,1.38,32.19,1.02,2.46,399.02,37.92,102.76,-32.26
MOS,2014-09-30,-16.52,1.5,36.47,29.71,0.18,0.04,31.29,-0.53,0.27,0.08,0.02,100.52,202.97
MRK,2014-09-30,11.36,0.43,16.62,11.43,1.08,0.42,17.39,0.65,2.49,128.54,17.98,63.75,-3.29
MRO,2014-09-30,-24.77,1.71,47.49,22.59,0.03,0.01,42.82,-0.58,0.02,-73.08,-23.09,133.47,464.22
MSFT,2014-09-30,2.0,0.95,21.01,35.46,0.79,0.17,16.89,0.12,1.31,105.17,15.46,91.26,74.72
MSI,2014-09-30,-5.24,0.79,28.92,12.95,0.24,0.09,27.13,-0.19,0.24,12.08,2.31,46.13,72.99
MUR,2014-09-30,-16.63,1.5,28.97,46.53,0.22,0.04,22.17,-0.75,0.35,12.18,2.33,91.85,185.66
NEE,2014-09-30,8.63,0.45,16.14,13.62,0.96,0.35,16.67,0.52,1.45,103.89,15.31,75.89,38.45
NE,2014-09-30,-26.18,1.47,31.96,37.06,-0.11,-0.02,26.11,-1.0,-0.16,-35.19,-8.31,65.01,207.29
NFX,2014-09-30,-17.87,1.42,36.44,26.44,0.11,0.03,31.73,-0.56,0.16,-12.9,-2.72,81.69,215.68
NSC,2014-09-30,6.91,1.12,22.48,43.32,1.07,0.22,17.0,0.41,1.93,193.98,24.07,112.0,65.9
NTAP,2014-09-30,-8.03,1.51,32.64,37.51,0.47,0.1,26.68,-0.3,0.69,64.23,10.43,125.65,182.36
NTRS,2014-09-30,-9.04,1.07,19.88,50.39,0.37,0.07,14.03,-0.64,0.53,31.45,5.62,86.8,146.29
NU,2014-09-30,9.35,0.49,13.41,23.56,1.26,0.34,13.51,0.69,2.06,122.51,17.35,77.87,40.95
NUE,2014-09-30,-12.2,1.38,24.01,57.56,0.38,0.07,16.42,-0.74,0.62,36.57,6.43,107.17,178.35
NWL,2014-09-30,0.25,1.33,24.85,49.68,0.83,0.16,18.14,0.01,1.45,141.3,19.26,124.5,118.76
NWSA,2014-09-30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OI,2014-09-30,-34.05,2.16,35.68,64.14,-0.02,-0.0,26.32,-1.29,-0.03,-29.4,-6.73,125.86,312.0
ORLY,2014-09-30,23.54,0.48,20.86,9.12,1.48,0.65,21.05,1.12,2.54,316.05,32.99,92.78,-25.55
OXY,2014-09-30,-13.54,1.52,26.78,55.97,0.37,0.06,19.04,-0.71,0.73,37.91,6.64,102.87,187.84
PBI,2014-09-30,-10.21,1.41,31.35,35.18,0.36,0.08,25.81,-0.4,0.6,40.3,7.01,96.19,155.99
PCLN,2014-09-30,19.6,1.76,39.12,35.52,1.19,0.26,33.0,0.59,2.04,598.7,47.52,197.68,114.66
PCP,2014-09-30,4.09,0.97,20.08,40.41,0.94,0.2,15.51,0.26,1.68,133.39,18.47,103.7,89.9
PDCO,2014-09-30,-0.8,0.77,16.22,39.4,0.68,0.14,12.98,-0.06,1.62,63.27,10.3,70.79,87.3
PEG,2014-09-30,3.48,0.36,16.46,8.38,0.55,0.25,17.88,0.19,0.78,47.04,8.02,52.5,45.24
PETM,2014-09-30,17.97,0.58,20.62,13.69,1.3,0.47,19.95,0.9,2.13,241.86,27.87,87.92,-6.36
PFE,2014-09-30,6.42,0.66,15.71,31.16,1.06,0.25,13.77,0.47,2.12,115.86,16.64,74.92,29.93
PGR,2014-09-30,23.13,0.64,71.34,1.4,0.46,0.52,71.0,0.33,0.74,89.81,13.68,94.59,95.73
PH,2014-09-30,-2.49,1.53,26.98,56.26,0.78,0.14,19.18,-0.13,1.51,140.34,19.17,134.66,156.0
PHM,2014-09-30,-11.9,2.0,42.44,38.85,0.45,0.09,35.73,-0.33,0.76,63.33,10.31,167.73,239.44
PKI,2014-09-30,5.59,0.94,22.75,29.51,0.88,0.21,19.12,0.29,1.48,138.67,19.0,103.92,83.98
PLD,2014-09-30,-6.65,1.53,24.97,65.23,0.67,0.11,16.28,-0.41,0.99,98.42,14.69,129.47,173.02
PLL,2014-09-30,2.25,1.42,26.62,49.54,0.9,0.17,19.7,0.11,1.57,179.33,22.81,133.96,132.16
PNC,2014-09-30,-0.66,1.04,20.58,44.6,0.75,0.15,15.33,-0.04,1.23,94.03,14.18,100.66,111.22
PNR,2014-09-30,2.15,1.23,25.3,41.16,0.83,0.17,19.64,0.11,1.74,144.84,19.61,133.23,142.99
PNW,2014-09-30,8.33,0.47,13.85,20.17,1.12,0.33,14.21,0.59,1.95,107.56,15.73,64.97,20.87
PPG,2014-09-30,10.09,1.22,20.96,59.54,1.38,0.24,13.66,0.74,3.32,277.93,30.46,142.43,95.77
PRGO,2014-09-30,28.35,0.28,22.16,2.87,1.48,1.15,23.8,1.19,3.53,349.82,35.08,88.17,-68.51
PRU,2014-09-30,-7.29,1.63,26.98,63.73,0.66,0.11,18.26,-0.4,0.97,102.73,15.18,138.01,179.14
PSX,2014-09-30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PVH,2014-09-30,2.06,1.62,35.32,36.53,0.76,0.17,29.29,0.07,1.67,185.92,23.38,133.55,134.31
PX,2014-09-30,-0.32,0.81,14.15,57.26,0.86,0.15,9.59,-0.03,1.5,74.99,11.84,75.74,76.28
QEP,2014-09-30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
R,2014-09-30,-0.32,1.59,32.62,41.55,0.74,0.15,26.13,-0.01,1.19,158.55,20.92,140.35,146.84
REGN,2014-09-30,55.46,0.98,49.19,6.93,1.43,0.72,47.46,1.17,3.94,1767.98,79.59,219.06,7.89
RF,2014-09-30,-13.38,2.04,38.79,48.38,0.46,0.09,31.08,-0.43,0.68,69.09,11.08,158.59,226.53
RHI,2014-09-30,-1.92,1.35,26.96,44.01,0.7,0.14,20.7,-0.09,1.34,115.99,16.65,119.76,138.47
RHT,2014-09-30,2.14,1.06,29.84,22.23,0.62,0.17,26.33,0.08,1.13,103.15,15.23,96.94,100.79
ROK,2014-09-30,3.1,1.42,27.66,45.81,0.9,0.18,21.09,0.15,1.73,186.56,23.44,142.89,147.2
ROST,2014-09-30,16.0,0.65,20.48,17.76,1.27,0.4,19.13,0.84,2.97,229.67,26.95,90.57,19.27
RTN,2014-09-30,8.81,0.73,18.25,27.9,1.1,0.27,15.9,0.55,1.85,150.05,20.12,91.48,51.51
SBUX,2014-09-30,15.73,0.92,22.18,30.14,1.35,0.32,18.57,0.85,2.36,290.96,31.35,128.62,69.39
SCG,2014-09-30,5.71,0.44,13.32,18.72,0.93,0.28,14.13,0.4,1.47,78.11,12.24,62.25,42.12
SCHW,2014-09-30,-9.86,1.53,27.34,54.65,0.5,0.09,19.7,-0.5,0.84,64.88,10.52,123.5,181.02
SE,2014-09-30,7.39,0.83,17.26,40.07,1.17,0.24,13.56,0.55,1.88,153.16,20.41,95.53,59.25
SEE,2014-09-30,-3.22,1.33,26.52,44.05,0.65,0.13,20.32,-0.16,1.14,99.53,14.82,123.88,155.89
SIAL,2014-09-30,8.24,0.89,22.34,27.8,0.98,0.25,19.03,0.43,2.35,166.05,21.62,97.7,53.88
SLB,2014-09-30,-8.1,1.6,29.68,50.94,0.56,0.1,22.26,-0.36,0.76,83.4,12.9,116.61,169.85
SLM,2014-09-30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SNA,2014-09-30,10.62,1.24,22.16,55.03,1.34,0.24,15.2,0.7,2.07,288.32,31.17,146.57,103.25
SO,2014-09-30,8.85,0.17,11.0,4.24,1.04,0.67,15.35,0.58,1.41,72.43,11.51,37.13,-7.7
SPG,2014-09-30,9.32,0.8,17.88,35.38,1.21,0.27,14.6,0.64,2.38,172.59,22.21,100.08,60.75
SRE,2014-09-30,12.4,0.44,13.63,18.26,1.41,0.44,14.37,0.86,2.28,148.34,19.95,74.33,4.01
STI,2014-09-30,-8.65,1.61,31.96,44.43,0.51,0.1,25.16,-0.34,0.92,75.6,11.92,132.04,181.28
STX,2014-09-30,2.88,2.48,50.12,42.59,0.82,0.17,42.68,0.07,2.2,332.8,34.05,239.3,250.21
TSN,2014-09-30,20.22,0.46,26.24,5.3,1.04,0.6,26.52,0.76,1.65,227.68,26.79,82.72,-9.28
SWK,2014-09-30,-2.58,1.53,27.9,52.19,0.75,0.14,20.5,-0.13,1.24,134.9,18.63,134.97,145.96
SWN,2014-09-30,-15.62,0.97,26.16,24.01,-0.03,-0.01,22.81,-0.68,-0.04,-18.11,-3.92,53.25,159.07
SYMC,2014-09-30,-2.68,0.86,22.79,24.78,0.46,0.12,19.86,-0.13,0.77,49.38,8.36,78.85,113.01
TAP,2014-09-30,-0.2,0.85,19.13,34.79,0.68,0.15,15.57,-0.01,1.43,74.68,11.8,97.28,123.34
TE,2014-09-30,0.79,0.61,14.46,31.2,0.7,0.17,13.05,0.06,1.43,58.34,9.63,64.24,60.45
TEG,2014-09-30,8.53,0.68,19.95,20.39,0.95,0.28,18.29,0.47,1.79,134.66,18.6,93.3,53.05
WU,2014-09-30,-16.6,1.26,26.94,38.1,0.1,0.02,21.47,-0.77,0.12,-4.91,-1.0,85.29,192.24
TEL,2014-09-30,-1.03,1.62,26.84,63.61,0.89,0.15,18.15,-0.06,1.62,176.6,22.57,156.3,163.71
TGT,2014-09-30,1.5,0.52,18.39,14.15,0.52,0.18,18.17,0.08,0.85,48.69,8.26,38.92,37.21
TMK,2014-09-30,5.04,1.13,17.4,73.73,1.29,0.2,9.08,0.55,2.9,183.8,23.2,123.67,99.32
TSS,2014-09-30,-0.44,1.12,20.26,53.03,0.83,0.15,13.97,-0.03,1.23,108.54,15.83,101.34,95.82
TWX,2014-09-30,8.78,1.11,23.39,39.21,1.1,0.23,18.29,0.48,2.69,217.0,25.95,132.48,84.94
TXN,2014-09-30,-0.73,1.26,21.83,58.05,0.85,0.15,14.55,-0.05,1.49,125.58,17.67,121.9,143.24
TYC,2014-09-30,-14.63,1.21,45.34,12.45,0.09,0.03,42.51,-0.34,0.06,-79.31,-27.03,114.93,473.69
UPS,2014-09-30,1.1,0.92,16.33,55.93,0.94,0.17,10.89,0.1,1.49,101.36,15.03,90.34,91.21
URBN,2014-09-30,-6.8,1.01,31.48,17.81,0.28,0.09,28.54,-0.24,0.49,21.64,4.0,56.64,125.38
USB,2014-09-30,4.26,0.79,17.73,34.97,0.93,0.21,14.55,0.29,1.32,110.48,16.05,80.21,51.85
UTX,2014-09-30,-2.55,1.14,18.2,68.41,0.82,0.13,10.39,-0.25,1.38,94.79,14.27,106.49,124.93
V,2014-09-30,13.44,0.77,19.06,28.47,1.33,0.33,16.41,0.82,1.7,220.52,26.23,101.59,23.13
VFC,2014-09-30,14.47,0.91,20.99,32.48,1.35,0.31,17.29,0.84,2.4,267.63,29.74,117.94,44.08
VIAB,2014-09-30,7.36,1.09,20.88,47.44,1.15,0.22,15.19,0.48,1.78,197.89,24.4,121.65,84.07
VLO,2014-09-30,-0.2,1.7,38.15,34.67,0.68,0.15,32.2,-0.01,1.49,158.82,20.95,164.15,209.28
VMC,2014-09-30,-14.45,1.51,33.52,35.34,0.26,0.06,27.78,-0.52,0.4,17.54,3.28,124.07,253.11
VRSN,2014-09-30,9.49,0.88,23.31,24.69,0.99,0.26,20.29,0.47,1.27,173.23,22.27,113.5,81.44
VRTX,2014-09-30,24.55,0.46,46.71,1.68,0.68,0.69,46.87,0.52,1.47,196.33,24.27,135.97,94.31
