Ticker,Date,Alpha,Unemployment,ConsumerSentiment,Market,Size,ValueGrowth,AlphaStd,UnemploymentStd,ConsumerSentimentStd,MarketStd,SizeStd,ValueGrowthStd,TotalRisk,DiversifiableRisk,NonDiversifiableRisk
GGG,2014-09-30,-0.068,0.8,-0.041,1.621,0.427,-0.389,0.043,0.51,0.113,0.176,0.312,0.337,27.782,14.565,23.657
STL,2014-09-30,0.053,-0.707,0.101,1.009,1.208,0.115,0.05,0.597,0.133,0.206,0.366,0.395,26.876,17.207,20.645
ZINC,2014-09-30,0.005,-0.212,-0.064,1.783,1.094,0.495,0.085,1.014,0.225,0.351,0.621,0.671,42.239,29.326,30.399
INDB,2014-09-30,-0.027,0.345,0.228,0.661,0.718,0.305,0.042,0.497,0.11,0.172,0.305,0.329,20.209,14.387,14.192
MDR,2014-09-30,-0.082,0.498,0.012,1.443,1.753,0.634,0.1,1.192,0.265,0.412,0.73,0.789,45.808,34.562,30.065
MCGC,2014-09-30,-0.08,0.934,0.002,0.73,1.841,0.225,0.066,0.781,0.174,0.27,0.479,0.517,31.381,22.626,21.744
MTZ,2014-09-30,-0.062,0.847,-0.204,0.976,0.418,0.923,0.088,1.044,0.232,0.361,0.639,0.69,35.237,30.36,17.884
MDAS,2014-09-30,0.066,-0.906,-0.41,0.938,0.634,-0.291,0.098,1.173,0.26,0.406,0.719,0.776,38.315,34.148,17.376
ALOG,2014-09-30,-0.077,0.959,-0.138,0.679,0.735,-0.417,0.061,0.723,0.16,0.25,0.443,0.478,25.022,21.016,13.581
AVA,2014-09-30,-0.018,0.231,-0.158,0.606,-0.184,0.379,0.037,0.443,0.098,0.153,0.272,0.293,15.734,12.879,9.038
ATMI,2014-09-30,0.085,-1.062,0.145,1.318,1.288,-0.497,0.077,0.901,0.167,0.263,0.485,0.507,32.8,21.564,24.715
CJES,2014-09-30,0.153,-2.081,-0.446,0.732,0.852,2.2,0.148,1.935,0.323,0.556,1.057,1.111,37.064,31.392,19.705
MLR,2014-09-30,-0.07,0.919,-0.28,0.541,0.626,0.883,0.066,0.784,0.174,0.271,0.481,0.519,26.791,22.812,14.049
BWA,2014-09-30,-0.1,1.294,-0.059,1.2,0.993,-0.005,0.061,0.726,0.161,0.251,0.445,0.48,30.285,20.989,21.832
AEP,2014-09-30,-0.015,0.286,-0.117,0.421,-0.391,0.153,0.037,0.437,0.097,0.151,0.268,0.289,13.996,12.732,5.814
CPE,2014-09-30,-0.194,2.605,-0.039,1.707,0.409,1.597,0.179,2.138,0.475,0.74,1.31,1.414,69.239,62.259,30.297
BLK,2014-09-30,0.018,-0.353,0.108,1.511,-0.654,0.23,0.046,0.543,0.121,0.188,0.333,0.359,25.068,15.645,19.586
CELG,2014-09-30,0.082,-0.904,0.076,1.078,0.147,-0.556,0.063,0.745,0.166,0.258,0.457,0.493,26.69,21.655,15.601
CSV,2014-09-30,-0.019,0.449,0.105,0.821,-0.024,0.142,0.087,1.032,0.229,0.357,0.632,0.683,32.235,30.071,11.612
CECO,2014-09-30,0.012,-0.536,-0.268,2.231,-0.039,1.904,0.194,2.312,0.513,0.8,1.417,1.53,76.277,67.301,35.899
CLDX,2014-09-30,0.181,-2.08,-0.403,1.576,4.62,-1.55,0.166,1.983,0.44,0.686,1.215,1.312,75.5,57.505,48.924
N,2014-09-30,-0.063,0.974,0.195,1.155,1.144,-1.428,0.097,1.155,0.256,0.4,0.708,0.764,40.277,33.579,22.241
CNK,2014-09-30,-0.079,1.055,-0.071,1.069,-0.186,-0.06,0.06,0.715,0.159,0.247,0.438,0.473,25.249,20.785,14.335
CNL,2014-09-30,-0.027,0.454,-0.097,0.353,0.115,0.128,0.041,0.493,0.11,0.171,0.302,0.326,15.576,14.367,6.015
CYH,2014-09-30,0.081,-1.0,-0.026,1.151,1.302,0.762,0.095,1.127,0.25,0.39,0.69,0.745,40.798,32.726,24.362
CRVL,2014-09-30,-0.136,1.595,-0.18,0.97,0.377,0.129,0.087,1.037,0.23,0.359,0.635,0.686,34.398,30.165,16.532
